"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Alexander\caja\my-app\src\features\iam\reducers\requests\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\Alexander\caja\my-app\src\features\iam\reducers\requests\loadUsers.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 19
"d:\Alexander\caja\my-app\src\features\iam\reducers\ui\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\Alexander\caja\my-app\src\features\iam\reducers\ui\usersPagination.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 25
"d:\Alexander\caja\my-app\src\features\iam\selectors\getUsersTableView.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\Alexander\caja\my-app\src\features\iam\selectors\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Alexander\caja\my-app\src\features\iam\selectors\inputSelectors.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\Alexander\caja\my-app\src\features\iam\services\index.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\Alexander\caja\my-app\src\features\organization\actions\index.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 2, 10, 97
"d:\Alexander\caja\my-app\src\features\organization\components\FormDialog.tsx", "TypeScript React", 44, 0, 0, 0, 0, 0, 0, 2, 46
"d:\Alexander\caja\my-app\src\features\organization\components\JobDetails.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Alexander\caja\my-app\src\features\organization\components\JobForm.tsx", "TypeScript React", 89, 0, 0, 0, 0, 0, 0, 3, 92
"d:\Alexander\caja\my-app\src\features\organization\components\Organization.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\Alexander\caja\my-app\src\features\organization\components\OrganizationalStructureTree.tsx", "TypeScript React", 97, 0, 0, 0, 0, 0, 2, 5, 104
"d:\Alexander\caja\my-app\src\features\organization\components\UnitDetails.tsx", "TypeScript React", 59, 0, 0, 0, 0, 0, 0, 3, 62
"d:\Alexander\caja\my-app\src\features\organization\components\UnitForm.tsx", "TypeScript React", 72, 0, 0, 0, 0, 0, 0, 5, 77
"d:\Alexander\caja\my-app\src\features\organization\components\organization.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\Alexander\caja\my-app\src\features\organization\components\tree.css", "CSS", 0, 0, 0, 0, 192, 0, 4, 2, 198
"d:\Alexander\caja\my-app\src\features\organization\reducers\entities.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 0, 4, 122
"d:\Alexander\caja\my-app\src\features\organization\reducers\forms\jobForm.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 2, 35
"d:\Alexander\caja\my-app\src\features\organization\reducers\forms\unitForm.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 3, 28
"d:\Alexander\caja\my-app\src\features\organization\reducers\index.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\Alexander\caja\my-app\src\features\organization\reducers\ui.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 3, 30
"d:\Alexander\caja\my-app\src\features\organization\selectors\getOrganizationalStructure.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 2, 5, 61
"d:\Alexander\caja\my-app\src\features\organization\selectors\getSelectedJob.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\Alexander\caja\my-app\src\features\organization\selectors\getSelectedUnit.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 1, 22
"d:\Alexander\caja\my-app\src\features\organization\selectors\inputs.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\Alexander\caja\my-app\src\features\organization\state\index.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"d:\Alexander\caja\my-app\src\features\payrolls\components\Deductions.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Alexander\caja\my-app\src\features\payrolls\components\PayrollRoutes.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Alexander\caja\my-app\src\features\payrolls\components\Payrolls.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 1, 2, 27
"d:\Alexander\caja\my-app\src\features\payrolls\components\WageDetails.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 7, 3, 51
"d:\Alexander\caja\my-app\src\features\payrolls\components\WageForm.tsx", "TypeScript React", 204, 0, 0, 0, 0, 0, 17, 7, 228
"d:\Alexander\caja\my-app\src\features\payrolls\components\Wages.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 1, 29
"d:\Alexander\caja\my-app\src\features\payrolls\components\WagesList.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 2, 2, 62
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\entities\applicableDeductions.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 2, 21
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\entities\calculationMethods.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 5, 3, 40
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\entities\deductions.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 2, 102
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\entities\index.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\entities\payrollEntries.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\entities\payrollTypes.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 2, 29
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\entities\payrolls.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 91, 2, 105
